date,time,cash_value,stock_value,options_value
2024-01-01,00:00:00,2830.15,4370.37,3597.89
2024-01-01,01:00:00,2826.99,4355.69,3615.42
2024-01-01,02:00:00,2836.29,4336.32,3623.8
2024-01-01,03:00:00,2827.96,4347.83,3620.3
2024-01-01,04:00:00,2836.25,4355.05,3606.19
2024-01-01,05:00:00,2825.56,4371.02,3599.94
2024-01-01,06:00:00,2819.37,4376.59,3599.59
2024-01-01,07:00:00,2813.97,4357.98,3623.8
2024-01-01,08:00:00,2809.08,4359.81,3626.49
2024-01-01,09:00:00,2808.54,4364.62,3624.12
2024-01-01,10:00:00,2806.11,4380.91,3608.32
2024-01-01,11:00:00,2805.73,4380.2,3609.89
2024-01-01,12:00:00,2795.48,4373.83,3624.53
2024-01-01,13:00:00,2795.27,4389.35,3611.03
2024-01-01,14:00:00,2798.22,4403.72,3593.54
2024-01-01,15:00:00,2800.48,4395.43,3598.57
2024-01-01,16:00:00,2792.22,4411.89,3592.33
2024-01-01,17:00:00,2786.09,4429.72,3582.25
2024-01-01,18:00:00,2791.37,4427.7,3580.24
2024-01-01,19:00:00,2787.65,4410.24,3600.05
2024-01-01,20:00:00,2796.43,4391.96,3608.58
2024-01-01,21:00:00,2789.29,4375.1,3633.59
2024-01-01,22:00:00,2786.16,4381.61,3632.38
2024-01-01,23:00:00,2777.93,4366.45,3655.36
2024-01-02,00:00:00,2788.04,4387.02,3624.1
2024-01-02,01:00:00,2788.05,4387.17,3625.06
2024-01-02,02:00:00,2779.07,4400.55,3622.62
2024-01-02,03:00:00,2774.71,4415.5,3612.24
2024-01-02,04:00:00,2780.36,4398.15,3625.35
2024-01-02,05:00:00,2771.46,4380.41,3653.79
2024-01-02,06:00:00,2762.89,4394.33,3646.89
2024-01-02,07:00:00,2758.55,4411.85,3633.68
2024-01-02,08:00:00,2764.83,4401.52,3636.77
2024-01-02,09:00:00,2770.93,4398.67,3635.34
2024-01-02,10:00:00,2780.27,4404.79,3619.07
2024-01-02,11:00:00,2784.81,4414.13,3606.86
2024-01-02,12:00:00,2782.62,4402.52,3619.18
